_c0,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA,rank
2932,Grillroom Sabba,Amsterdam,[ 'Middle Eastern' ],2942.0,2.5,$,12.0,"[ [ 'This is a great place for Shoarma', 'Amsterdam Shawarma Classic since 30 years' ], [ '11/02/2017', '05/23/2017' ] ]",/Restaurant_Review-g188590-d6464568-Reviews-Grillroom_Sabba-Amsterdam_North_Holland_Province.html,d6464568,1
3118,Da Antonio,Amsterdam,[ 'Cafe' ],3129.0,2.5,$,70.0,"[ [ 'terrible waffles and coffee', 'Great breakfast' ], [ '12/18/2017', '10/01/2017' ] ]",/Restaurant_Review-g188590-d753115-Reviews-Da_Antonio-Amsterdam_North_Holland_Province.html,d753115,1
3136,KFC Bijlmer,Amsterdam,[ 'American' ],3147.0,2.5,$,13.0,"[ [ 'KFC is KFC!', 'When there is nothing left to eat.' ], [ '09/06/2017', '03/23/2017' ] ]",/Restaurant_Review-g188590-d10155867-Reviews-KFC_Bijlmer-Amsterdam_North_Holland_Province.html,d10155867,1
3158,Corner Inn,Amsterdam,[ 'Halal' ],3169.0,2.5,$,7.0,"[ [ 'Sometimes you have to just judge by the co...', 'Kebab or burger?' ], [ '10/09/2016', '09/13/2016' ] ]",/Restaurant_Review-g188590-d8811550-Reviews-Corner_Inn-Amsterdam_North_Holland_Province.html,d8811550,1
3188,The Views,Amsterdam,"[ 'Italian', 'Pizza' ]",3199.0,2.5,$,45.0,"[ [ 'The worst restaurant of Amsterdam', 'Miserable' ], [ '02/13/2016', '02/13/2016' ] ]",/Restaurant_Review-g188590-d3953078-Reviews-The_Views-Amsterdam_North_Holland_Province.html,d3953078,1
3189,Dim Sum Court,Amsterdam,"[ 'Chinese', 'Asian' ]",3200.0,2.5,$,74.0,"[ [ 'Not recommended, poor value', 'Only for a quick bite .' ], [ '08/10/2017', '03/26/2017' ] ]",/Restaurant_Review-g188590-d696926-Reviews-Dim_Sum_Court-Amsterdam_North_Holland_Province.html,d696926,1
3220,Middle East,Amsterdam,"[ 'Fast Food', 'Middle Eastern', 'Halal' ]",3231.0,2.5,$,24.0,"[ [ 'B ad Experience', 'Creepy' ], [ '03/22/2017', '10/11/2017' ] ]",/Restaurant_Review-g188590-d5892852-Reviews-Middle_East-Amsterdam_North_Holland_Province.html,d5892852,1
3239,Reggae Rita's,Amsterdam,"[ 'Caribbean', 'Jamaican' ]",,-1.0,$$ - $$$,,"[ [ 'A TRUE BLESSING FOR YOUR STOMACH' ], [ '01/10/2018' ] ]",/Restaurant_Review-g188590-d12291891-Reviews-Reggae_Rita_s-Amsterdam_North_Holland_Province.html,d12291891,1
3240,Lokaal Spaanders,Amsterdam,"[ 'French', 'European', 'Fusion', 'Street Food', 'Middle Eastern' ]",,-1.0,$$ - $$$,,"[ [  ], [  ] ]",/Restaurant_Review-g188590-d12333583-Reviews-Lokaal_Spaanders-Amsterdam_North_Holland_Province.html,d12333583,1
3241,Bistro Berlage,Amsterdam,"[ 'Dutch', 'European' ]",,-1.0,$$ - $$$,,"[ [ 'Bistro is changing!' ], [ '01/09/2018' ] ]",/Restaurant_Review-g188590-d13276050-Reviews-Bistro_Berlage-Amsterdam_North_Holland_Province.html,d13276050,1
3201,Maurya Indian Restaurant,Amsterdam,"[ 'Indian', 'Asian' ]",3212.0,2.0,$$$$,51.0,"[ [ 'Caution: expensive, poor quality, less qua...', 'Rip Off Central' ], [ '05/05/2017', '08/05/2015' ] ]",/Restaurant_Review-g188590-d696972-Reviews-Maurya_Indian_Restaurant-Amsterdam_North_Holland_Province.html,d696972,1
1747,Crepa-Crepa,Athens,[ 'Mediterranean' ],1749.0,2.5,$,2.0,"[ [ 'Order-in thumbs down' ], [ '10/08/2017' ] ]",/Restaurant_Review-g189400-d12118518-Reviews-Crepa_Crepa-Athens_Attica.html,d12118518,1
1753,Souvlistas,Athens,"[ 'Greek', 'Grill' ]",1755.0,2.5,$,17.0,"[ [ 'Worst burger ever.', 'Amazing fast food' ], [ '07/25/2017', '02/13/2017' ] ]",/Restaurant_Review-g189400-d7138859-Reviews-Souvlistas-Athens_Attica.html,d7138859,1
1749,Seirines,Athens,"[ 'Greek', 'Mediterranean' ]",1751.0,2.0,$$ - $$$,75.0,"[ [ 'Quick lunch', 'We enjoyed the Retsina' ], [ '07/10/2017', '10/21/2017' ] ]",/Restaurant_Review-g189400-d3708996-Reviews-Seirines-Athens_Attica.html,d3708996,1
1750,Palia Taverna Kritikou,Athens,[ 'Greek' ],1752.0,2.0,$$ - $$$,21.0,"[ [ 'Rooftop dinner in Plaza', 'Worst restaurant in the world - avoid' ], [ '10/15/2017', '02/18/2016' ] ]",/Restaurant_Review-g189400-d7158585-Reviews-Palia_Taverna_Kritikou-Athens_Attica.html,d7158585,1
1761,Apothiki,Athens,"[ 'American', 'German', 'Brew Pub', 'Pizza', 'Barbecue', 'Pub' ]",1763.0,2.0,$$ - $$$,,"[ [  ], [  ] ]",/Restaurant_Review-g189400-d11847899-Reviews-Apothiki-Athens_Attica.html,d11847899,1
1762,Ma'Ergeio Sto Fix Restaurant,Athens,[ 'Greek' ],1764.0,2.0,$$ - $$$,,"[ [ 'One word - Disappointing' ], [ '05/11/2017' ] ]",/Restaurant_Review-g189400-d12150583-Reviews-Ma_Ergeio_Sto_Fix_Restaurant-Athens_Attica.html,d12150583,1
1766,Flocafe,Athens,[ 'Cafe' ],1768.0,2.0,$$ - $$$,19.0,"[ [ 'Worst service ever', 'Terrible all around!' ], [ '09/09/2017', '07/27/2017' ] ]",/Restaurant_Review-g189400-d8354261-Reviews-Flocafe-Athens_Attica.html,d8354261,1
1768,Adiahorito,Athens,[ 'Greek' ],1770.0,2.0,$$ - $$$,30.0,"[ [ 'Good for fun, bad for food' ], [ '03/28/2016' ] ]",/Restaurant_Review-g189400-d4563856-Reviews-Adiahorito-Athens_Attica.html,d4563856,1
1770,Adrianos,Athens,"[ 'Mediterranean', 'Greek' ]",1772.0,2.0,$$ - $$$,594.0,"[ [ 'Adrionos', 'Adrianos / Athens' ], [ '11/26/2017', '06/12/2017' ] ]",/Restaurant_Review-g189400-d4282510-Reviews-Adrianos-Athens_Attica.html,d4282510,1
