_c0,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA,rank
163,Sir Hummus,Amsterdam,"[ 'Healthy', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",164.0,5.0,$,126.0,"[ [ 'Great service, great food!', 'Amazing Hummus!' ], [ '11/24/2017', '11/19/2017' ] ]",/Restaurant_Review-g188590-d7607446-Reviews-Sir_Hummus-Amsterdam_North_Holland_Province.html,d7607446,1
0,Martine of Martine's Table,Amsterdam,"[ 'French', 'Dutch', 'European' ]",1.0,5.0,$$ - $$$,136.0,"[ [ 'Just like home', 'A Warm Welcome to Wintry Amsterdam' ], [ '01/03/2018', '01/01/2018' ] ]",/Restaurant_Review-g188590-d11752080-Reviews-Martine_of_Martine_s_Table-Amsterdam_North_Holland_Province.html,d11752080,1
3,Vinkeles,Amsterdam,"[ 'French', 'European', 'International', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",4.0,5.0,$$$$,564.0,"[ [ 'True five star dinner', 'A superb evening of fine dining, hospitali...' ], [ '12/20/2017', '12/17/2017' ] ]",/Restaurant_Review-g188590-d1239229-Reviews-Vinkeles-Amsterdam_North_Holland_Province.html,d1239229,1
1,Cinque Wine & Deli Bar,Athens,"[ 'Wine Bar', 'Greek', 'Delicatessen', 'Gluten Free Options' ]",2.0,5.0,$,1013.0,"[ [ 'One of the best restaurants we ever visite...', 'A truly delightful evening' ], [ '01/09/2018', '01/08/2018' ] ]",/Restaurant_Review-g189400-d9462540-Reviews-Cinque_Wine_Deli_Bar-Athens_Attica.html,d9462540,1
0,Simul Gastronomic Situ,Athens,"[ 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1.0,5.0,$$ - $$$,127.0,"[ [ 'Excellent experience', 'A nice surprise' ], [ '01/09/2018', '01/01/2018' ] ]",/Restaurant_Review-g189400-d9763282-Reviews-Simul_Gastronomic_Situ-Athens_Attica.html,d9763282,1
2,Dinner in the Sky,Athens,"[ 'Mediterranean', 'European', 'Greek', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",3.0,5.0,$$$$,886.0,"[ [ 'Great sensorial experience', 'Perfect Way to Watch the Sunset in Athens' ], [ '12/22/2017', '11/06/2017' ] ]",/Restaurant_Review-g189400-d7825999-Reviews-Dinner_in_the_Sky-Athens_Attica.html,d7825999,1
186,Comida De Olla,Barcelona,"[ 'Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly', 'Vegan Options' ]",187.0,5.0,$,88.0,"[ [ 'Must try', 'POLECAM !!!✌' ], [ '01/06/2018', '11/20/2017' ] ]",/Restaurant_Review-g187497-d10325973-Reviews-Comida_De_Olla-Barcelona_Catalonia.html,d10325973,1
1,Viana,Barcelona,"[ 'International', 'Mediterranean', 'Spanish', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",2.0,5.0,$$ - $$$,2707.0,"[ [ 'Wow! Best ever!', 'Small menu-- GET A RESERVATION' ], [ '01/06/2018', '01/03/2018' ] ]",/Restaurant_Review-g187497-d8531409-Reviews-Viana-Barcelona_Catalonia.html,d8531409,1
0,Uma,Barcelona,"[ 'International', 'Mediterranean', 'Fusion', 'European', 'Spanish' ]",1.0,5.0,$$$$,792.0,"[ [ 'Perfect atmosphere and location', 'Perfection' ], [ '01/08/2018', '01/05/2018' ] ]",/Restaurant_Review-g187497-d8003030-Reviews-Uma-Barcelona_Catalonia.html,d8003030,1
107,Naveena Path,Berlin,"[ 'Indian', 'Asian', 'Sri Lankan', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",108.0,5.0,$,423.0,"[ [ 'Mindblowing!', 'Authentic Indian food' ], [ '01/08/2018', '01/08/2018' ] ]",/Restaurant_Review-g187323-d1963405-Reviews-Naveena_Path-Berlin.html,d1963405,1
