_c0,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA,rank
2932,Grillroom Sabba,Amsterdam,[ 'Middle Eastern' ],2942.0,2.5,$,12.0,"[ [ 'This is a great place for Shoarma', 'Amsterdam Shawarma Classic since 30 years' ], [ '11/02/2017', '05/23/2017' ] ]",/Restaurant_Review-g188590-d6464568-Reviews-Grillroom_Sabba-Amsterdam_North_Holland_Province.html,d6464568,1
3239,Reggae Rita's,Amsterdam,"[ 'Caribbean', 'Jamaican' ]",,-1.0,$$ - $$$,,"[ [ 'A TRUE BLESSING FOR YOUR STOMACH' ], [ '01/10/2018' ] ]",/Restaurant_Review-g188590-d12291891-Reviews-Reggae_Rita_s-Amsterdam_North_Holland_Province.html,d12291891,1
3201,Maurya Indian Restaurant,Amsterdam,"[ 'Indian', 'Asian' ]",3212.0,2.0,$$$$,51.0,"[ [ 'Caution: expensive, poor quality, less qua...', 'Rip Off Central' ], [ '05/05/2017', '08/05/2015' ] ]",/Restaurant_Review-g188590-d696972-Reviews-Maurya_Indian_Restaurant-Amsterdam_North_Holland_Province.html,d696972,1
1747,Crepa-Crepa,Athens,[ 'Mediterranean' ],1749.0,2.5,$,2.0,"[ [ 'Order-in thumbs down' ], [ '10/08/2017' ] ]",/Restaurant_Review-g189400-d12118518-Reviews-Crepa_Crepa-Athens_Attica.html,d12118518,1
1749,Seirines,Athens,"[ 'Greek', 'Mediterranean' ]",1751.0,2.0,$$ - $$$,75.0,"[ [ 'Quick lunch', 'We enjoyed the Retsina' ], [ '07/10/2017', '10/21/2017' ] ]",/Restaurant_Review-g189400-d3708996-Reviews-Seirines-Athens_Attica.html,d3708996,1
1700,El Greco,Athens,[ 'Greek' ],1702.0,2.0,$$$$,27.0,"[ [ 'Lovely food with very friendly service', 'Near the acropolis and a lovely place' ], [ '10/16/2017', '10/02/2017' ] ]",/Restaurant_Review-g189400-d3862721-Reviews-El_Greco-Athens_Attica.html,d3862721,1
7783,La Petite Champagnerie,Barcelona,"[ 'International', 'Spanish' ]",,-1.0,$,,"[ [  ], [  ] ]",/Restaurant_Review-g187497-d13173275-Reviews-La_Petite_Champagnerie-Barcelona_Catalonia.html,d13173275,1
7784,Les Dues Sicilies Rec Comtal,Barcelona,[ 'Italian' ],,-1.0,$$ - $$$,,"[ [  ], [  ] ]",/Restaurant_Review-g187497-d13199631-Reviews-Les_Dues_Sicilies_Rec_Comtal-Barcelona_Catalonia.html,d13199631,1
7773,White Shisha Lounge,Barcelona,[ 'Delicatessen' ],7787.0,1.0,$$$$,,"[ [ 'Tourist extortion avoid' ], [ '11/26/2017' ] ]",/Restaurant_Review-g187497-d12457377-Reviews-White_Shisha_Lounge-Barcelona_Catalonia.html,d12457377,1
6362,Cafe MokannTi,Berlin,"[ 'German', 'African' ]",,-1.0,$,,"[ [  ], [  ] ]",/Restaurant_Review-g187323-d12249169-Reviews-Cafe_MokannTi-Berlin.html,d12249169,1
