_c0,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA,rank
163,Sir Hummus,Amsterdam,"[ 'Healthy', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",164.0,5.0,$,126.0,"[ [ 'Great service, great food!', 'Amazing Hummus!' ], [ '11/24/2017', '11/19/2017' ] ]",/Restaurant_Review-g188590-d7607446-Reviews-Sir_Hummus-Amsterdam_North_Holland_Province.html,d7607446,1
180,The Lebanese Sajeria,Amsterdam,"[ 'Lebanese', 'Middle Eastern', 'Fast Food', 'Vegetarian Friendly', 'Vegan Options' ]",181.0,5.0,$,72.0,"[ [ 'Too good.', 'Excellent Lebanese eatery in Amsterdam' ], [ '12/31/2017', '12/28/2017' ] ]",/Restaurant_Review-g188590-d11817073-Reviews-The_Lebanese_Sajeria-Amsterdam_North_Holland_Province.html,d11817073,1
233,Benny’s Chicken,Amsterdam,"[ 'Dutch', 'Fast Food', 'Barbecue', 'European', 'Street Food', 'Halal' ]",234.0,5.0,$,88.0,"[ [ 'Great chicken sandwich!', 'Fresh, Cheap and Halal (Win!)' ], [ '12/03/2017', '11/04/2017' ] ]",/Restaurant_Review-g188590-d10522612-Reviews-Benny_s_Chicken-Amsterdam_North_Holland_Province.html,d10522612,1
239,Original Stroopwafels,Amsterdam,"[ 'Dutch', 'Fast Food' ]",240.0,5.0,$,75.0,"[ [ 'The best Stroopwafels ever :) !!!!', 'Tasty' ], [ '01/04/2018', '01/03/2018' ] ]",/Restaurant_Review-g188590-d9607846-Reviews-Original_Stroopwafels-Amsterdam_North_Holland_Province.html,d9607846,1
359,Cuddle,Amsterdam,"[ 'Bar', 'International', 'Pub', 'Vegetarian Friendly', 'Vegan Options' ]",360.0,5.0,$,116.0,"[ [ 'Best bar in Amsterdam', 'Best pub in Amsterdam!' ], [ '01/06/2018', '01/06/2018' ] ]",/Restaurant_Review-g188590-d11949427-Reviews-Cuddle-Amsterdam_North_Holland_Province.html,d11949427,1
394,Mister Meatball,Amsterdam,"[ 'Dutch', 'European', 'Vegetarian Friendly' ]",395.0,5.0,$,39.0,"[ [ 'Perfect!!', 'Excellent choice to eat local food' ], [ '12/30/2017', '12/16/2017' ] ]",/Restaurant_Review-g188590-d10820901-Reviews-Mister_Meatball-Amsterdam_North_Holland_Province.html,d10820901,1
442,the Urker Fish Shop (de Urker Viswinkel),Amsterdam,"[ 'Dutch', 'Seafood', 'Delicatessen', 'Fast Food' ]",443.0,5.0,$,39.0,"[ [ 'Excellent Fish & Chips', 'Great fish & chips' ], [ '12/22/2017', '11/27/2017' ] ]",/Restaurant_Review-g188590-d10319814-Reviews-The_Urker_Fish_Shop_de_Urker_Viswinkel-Amsterdam_North_Holland_Province.html,d10319814,1
596,Cafe Chantilly,Amsterdam,"[ 'Cafe', 'Fusion', 'Healthy', 'French', 'Dutch', 'European', 'Vegan Options', 'Vegetarian Friendly' ]",597.0,5.0,$,42.0,"[ [ 'have a coffee and look around', 'Amazing food' ], [ '10/04/2017', '08/30/2017' ] ]",/Restaurant_Review-g188590-d10136222-Reviews-Cafe_Chantilly-Amsterdam_North_Holland_Province.html,d10136222,1
652,Onigiri YA!,Amsterdam,"[ 'Japanese', 'Fast Food', 'Asian', 'Healthy', 'Vegetarian Friendly', 'Vegan Options' ]",653.0,5.0,$,38.0,"[ [ 'Simply amazing', 'In love with onigiri!!!!' ], [ '01/07/2018', '11/06/2017' ] ]",/Restaurant_Review-g188590-d10154791-Reviews-Onigiri_YA-Amsterdam_North_Holland_Province.html,d10154791,1
701,PEEJAYS doughnuts,Amsterdam,"[ 'American', 'International', 'Vegetarian Friendly' ]",702.0,5.0,$,23.0,"[ [ 'Best Doughnuts I’ve ever had', 'Artisan donuts in Amsterdam' ], [ '10/27/2017', '10/10/2017' ] ]",/Restaurant_Review-g188590-d12534160-Reviews-PEEJAYS_doughnuts-Amsterdam_North_Holland_Province.html,d12534160,1
