City,Cuisine,count
Amsterdam,Vietnamese,24
Bratislava,Hungarian,3
Brussels,International,74
London,Kosher,26
Lyon,Mediterranean,80
Lyon,German,2
Amsterdam,Ethiopian,14
Brussels,Pub,137
Brussels,Halal,43
Brussels,Dutch,1
Helsinki,Georgian,3
London,Scandinavian,18
Barcelona,Brazilian,23
Barcelona,Fast Food,281
Bratislava,Cuban,1
Copenhagen,Vegetarian Friendly,480
Dublin,Wine Bar,38
Geneva,Bar,57
Geneva,Eastern European,2
Helsinki,Vietnamese,20
Ljubljana,Contemporary,8
London,Austrian,9
Madrid,Barbecue,86
Amsterdam,Gastropub,20
Athens,Chinese,23
Bratislava,Portuguese,1
Brussels,Brew Pub,39
Copenhagen,Irish,5
Copenhagen,Moroccan,5
Geneva,Wine Bar,33
Lisbon,Italian,177
Athens,International,58
Dublin,Afghani,4
Geneva,Japanese,45
Helsinki,Czech,1
Helsinki,Gastropub,4
Lisbon,Mexican,13
Lyon,Healthy,29
Madrid,Lebanese,16
Athens,Russian,2
Barcelona,Vietnamese,19
Bratislava,Pizza,64
Budapest,European,1188
Krakow,Japanese,32
Lisbon,Albanian,1
London,Dutch,4
Amsterdam,Jamaican,4
Amsterdam,Russian,1
Athens,Seafood,74
Barcelona,Pub,278
Berlin,Wine Bar,68
Bratislava,American,26
Copenhagen,Greek,8
Copenhagen,Belgian,2
Dublin,Spanish,22
Geneva,Contemporary,21
Hamburg,Cafe,81
Hamburg,Turkish,30
Athens,Wine Bar,62
Berlin,Taiwanese,4
Lisbon,Vegan Options,336
Ljubljana,South American,2
Luxembourg,Moroccan,2
Amsterdam,Central American,9
Athens,South American,4
Barcelona,Turkish,35
Brussels,Grill,54
Budapest,Pizza,158
Geneva,Irish,2
Amsterdam,Eastern European,2
Barcelona,Central American,35
Bratislava,Czech,30
Copenhagen,Lebanese,11
Copenhagen,Jamaican,1
Dublin,Argentinean,2
Geneva,Swedish,1
Hamburg,Greek,72
Krakow,Central European,242
Lisbon,Fast Food,68
Lisbon,Tibetan,5
Madrid,Malaysian,1
Barcelona,Thai,42
Brussels,Chinese,88
Dublin,Mexican,40
Helsinki,American,47
Luxembourg,Grill,6
Barcelona,European,1688
Brussels,Scandinavian,2
Geneva,Malaysian,1
Krakow,Israeli,11
Amsterdam,Balti,5
Athens,Arabic,8
Barcelona,Moroccan,18
Bratislava,Indian,9
Bratislava,Egyptian,1
Copenhagen,Scandinavian,277
Geneva,Persian,5
Hamburg,Italian,269
Krakow,Kosher,12
Luxembourg,Brazilian,3
Madrid,Yunnan,1
Amsterdam,Sushi,86
Amsterdam,Danish,1
Athens,Scottish,1
Barcelona,Australian,2
Barcelona,Minority Chinese,4
Berlin,Guatemalan,2
Dublin,Barbecue,13
Edinburgh,American,73
Hamburg,International,109
Ljubljana,Pizza,56
Lyon,Spanish,38
Madrid,Russian,12
Berlin,Korean,46
Brussels,Bar,190
Budapest,International,312
Copenhagen,New Zealand,1
Helsinki,Central American,3
Lisbon,American,49
Ljubljana,Sushi,6
Madrid,Moroccan,12
Edinburgh,Vegetarian Friendly,877
Luxembourg,Peruvian,2
Lyon,Russian,6
Athens,Hawaiian,1
Berlin,African,21
Budapest,Irish,4
Copenhagen,Persian,1
Krakow,Bar,115
Luxembourg,Diner,1
Athens,American,48
Athens,Peruvian,2
Barcelona,Latin,132
Berlin,Hawaiian,2
Berlin,Filipino,3
Berlin,Colombian,1
Brussels,Brazilian,8
Edinburgh,British,654
Edinburgh,Fast Food,176
Geneva,Seafood,24
Geneva,Mexican,11
Geneva,Ethiopian,7
Hamburg,Contemporary,23
Luxembourg,African,1
Athens,Ethiopian,2
Barcelona,Mediterranean,2953
Copenhagen,Seafood,46
Geneva,Gluten Free Options,76
Geneva,Thai,45
Ljubljana,Thai,8
London,Belgian,15
Madrid,Georgian,4
Barcelona,Eastern European,12
Budapest,Central European,543
Copenhagen,Central European,8
Copenhagen,Thai,65
Hamburg,Fast Food,53
London,Delicatessen,112
London,Ecuadorean,2
Lyon,Persian,2
Athens,Turkish,8
Athens,Cafe,146
Krakow,Brew Pub,12
London,Contemporary,192
London,Spanish,300
London,Brazilian,57
Madrid,French,59
Edinburgh,Pub,261
Lisbon,Arabic,5
London,Korean,81
Amsterdam,Belgian,13
Amsterdam,Taiwanese,1
Barcelona,Spanish,2962
Brussels,Croatian,2
Copenhagen,Australian,3
Dublin,Vegetarian Friendly,704
Dublin,Healthy,49
Dublin,Pizza,144
Edinburgh,Street Food,13
Geneva,Egyptian,1
Hamburg,Mongolian,6
Krakow,Georgian,4
Lisbon,Delicatessen,15
Bratislava,Scottish,2
Budapest,Egyptian,1
Budapest,Ethiopian,1
Copenhagen,Vietnamese,25
Hamburg,Peruvian,5
Hamburg,Danish,1
Helsinki,Seafood,11
Helsinki,Sri Lankan,1
Lisbon,Nepali,49
London,Mediterranean,1583
Madrid,Delicatessen,68
Berlin,Portuguese,16
Brussels,Swiss,2
Dublin,Southwestern,1
Geneva,Scandinavian,2
Lisbon,Polish,1
Luxembourg,Halal,1
Lyon,Peruvian,3
Madrid,Grill,70
Athens,Vegetarian Friendly,430
Athens,Asian,49
Budapest,German,8
Madrid,Middle Eastern,41
Madrid,Afghani,3
Amsterdam,French,204
Athens,Korean,2
Barcelona,Tibetan,2
Bratislava,Street Food,12
Brussels,Central American,4
Budapest,Gluten Free Options,286
Budapest,Cajun & Creole,1
Copenhagen,Filipino,1
Geneva,American,34
Ljubljana,Bangladeshi,1
London,Southwestern,14
Amsterdam,Portuguese,10
Dublin,Bar,354
Geneva,Sushi,44
