City,Cuisine,count
Amsterdam,Vietnamese,24
Bratislava,Hungarian,3
Brussels,International,74
Amsterdam,Ethiopian,14
Brussels,Pub,137
Brussels,Halal,43
Barcelona,Brazilian,23
Barcelona,Fast Food,281
Bratislava,Cuban,1
Amsterdam,Gastropub,20
Athens,Chinese,23
Bratislava,Portuguese,1
Brussels,Brew Pub,39
Athens,International,58
Athens,Russian,2
Barcelona,Vietnamese,19
Bratislava,Pizza,64
Amsterdam,Jamaican,4
Amsterdam,Russian,1
Athens,Seafood,74
Barcelona,Pub,278
Berlin,Wine Bar,68
Bratislava,American,26
Athens,Wine Bar,62
Berlin,Taiwanese,4
Amsterdam,Central American,9
Athens,South American,4
Barcelona,Turkish,35
Brussels,Grill,54
Amsterdam,Eastern European,2
Barcelona,Central American,35
Bratislava,Czech,30
Barcelona,Thai,42
Brussels,Chinese,88
Barcelona,European,1688
Amsterdam,Balti,5
Athens,Arabic,8
Barcelona,Moroccan,18
Bratislava,Indian,9
Bratislava,Egyptian,1
Amsterdam,Sushi,86
Amsterdam,Danish,1
Athens,Scottish,1
Barcelona,Australian,2
Barcelona,Minority Chinese,4
Berlin,Guatemalan,2
Berlin,Korean,46
Brussels,Bar,190
Athens,Hawaiian,1
Berlin,African,21
Athens,American,48
Athens,Peruvian,2
Barcelona,Latin,132
Berlin,Hawaiian,2
Berlin,Filipino,3
Berlin,Colombian,1
Brussels,Brazilian,8
Athens,Ethiopian,2
Barcelona,Mediterranean,2953
Barcelona,Eastern European,12
Athens,Turkish,8
Athens,Cafe,146
Amsterdam,Belgian,13
Amsterdam,Taiwanese,1
Barcelona,Spanish,2962
Brussels,Croatian,2
Bratislava,Scottish,2
Berlin,Portuguese,16
Brussels,Swiss,2
Athens,Vegetarian Friendly,430
Athens,Asian,49
Amsterdam,French,204
Athens,Korean,2
Barcelona,Tibetan,2
Bratislava,Street Food,12
Brussels,Central American,4
Amsterdam,Portuguese,10
Amsterdam,Colombian,2
Berlin,Street Food,43
Berlin,Cuban,3
Bratislava,Austrian,2
Bratislava,Diner,8
Brussels,Vegetarian Friendly,672
Brussels,Cajun & Creole,2
Berlin,Asian,514
Amsterdam,Mexican,39
Brussels,Nepali,1
Amsterdam,Contemporary,52
Athens,German,5
Berlin,Chilean,4
Athens,Delicatessen,11
Athens,Street Food,20
Berlin,Steakhouse,92
Bratislava,Greek,4
Brussels,Argentinean,7
Amsterdam,Ecuadorean,1
Athens,Kosher,1
Athens,Colombian,1
Berlin,Chinese,119
Bratislava,Healthy,23
Athens,Vegan Options,288
Berlin,Cafe,309
Berlin,Gastropub,26
Brussels,British,13
Amsterdam,Cafe,317
Athens,Fast Food,83
Barcelona,Jamaican,1
Berlin,Russian,20
Berlin,Latvian,1
Brussels,Seafood,75
Amsterdam,Caribbean,14
Athens,Indian,28
Bratislava,Dutch,1
Amsterdam,Brew Pub,4
Amsterdam,Brazilian,9
Athens,Italian,109
Berlin,Sushi,178
Amsterdam,Pizza,182
Brussels,Cafe,76
Amsterdam,Asian,352
Amsterdam,Irish,7
Amsterdam,Tunisian,2
Barcelona,Soups,49
Berlin,Central European,444
Berlin,Pizza,342
Berlin,Grill,81
Barcelona,Diner,40
Barcelona,Russian,7
Bratislava,Slovenian,5
Bratislava,Mexican,9
Bratislava,Armenian,1
Athens,Gluten Free Options,125
Athens,Brew Pub,9
Bratislava,Bar,100
Amsterdam,Vegetarian Friendly,1307
Amsterdam,Barbecue,84
Barcelona,Pizza,384
Berlin,Jamaican,3
Berlin,Malaysian,1
Amsterdam,Gluten Free Options,497
Amsterdam,Steakhouse,112
Bratislava,European,287
Athens,Diner,31
Barcelona,Swiss,3
Brussels,Italian,448
Bratislava,Turkish,3
Amsterdam,Israeli,7
Amsterdam,Scandinavian,4
Amsterdam,Romanian,1
Berlin,Japanese,161
Amsterdam,Tibetan,6
Barcelona,Malaysian,2
Berlin,Hungarian,4
Bratislava,Grill,16
Barcelona,Korean,21
Barcelona,Hawaiian,6
Brussels,Ethiopian,3
Brussels,Tibetan,3
Amsterdam,Spanish,81
Berlin,International,278
Athens,Bar,117
Barcelona,Italian,574
Berlin,Brazilian,5
Brussels,Latin,12
Berlin,Indian,151
Bratislava,African,1
Berlin,Turkish,143
Berlin,Armenian,4
Barcelona,Cafe,375
Barcelona,Cambodian,2
Berlin,Greek,98
Brussels,Mexican,13
Amsterdam,Swedish,3
Bratislava,Steakhouse,11
Brussels,Fusion,44
Brussels,Delicatessen,23
Athens,Sushi,26
Athens,Armenian,4
Barcelona,Xinjiang,1
Berlin,Caribbean,10
Bratislava,Sushi,20
Brussels,Vegan Options,232
Amsterdam,Latin,27
Barcelona,Street Food,54
Berlin,French,136
Barcelona,Venezuelan,27
Barcelona,Albanian,1
Athens,Thai,7
Berlin,Gluten Free Options,297
Bratislava,Minority Chinese,1
Bratislava,Romanian,1
Amsterdam,Cuban,1
Athens,Fusion,7
Barcelona,Romanian,3
Berlin,Afghani,1
Brussels,Vietnamese,75
Brussels,Irish,6
Barcelona,Caribbean,26
Barcelona,Ethiopian,2
Berlin,Dutch,1
Brussels,African,26
Barcelona,Central European,13
Brussels,South American,18
Berlin,Austrian,55
Berlin,Spanish,112
Brussels,Indian,52
Amsterdam,Italian,364
Barcelona,Cuban,11
Barcelona,Egyptian,2
Brussels,Romanian,2
Barcelona,Chilean,8
Athens,Mediterranean,699
Barcelona,Portuguese,7
Brussels,Fast Food,102
Amsterdam,Central Asian,1
Athens,Halal,6
Athens,Bangladeshi,3
Barcelona,African,10
Berlin,Native American,1
Bratislava,Barbecue,14
